\;who;text;Новый вариант;;;;;;;;;;;;;;;;;;;;;
229;ID_46_f_o_ROUND_2_SUICIDE_TEXT;Я не сплю. Я не знаю даже какой сегодня день. Я не могу спать. Я ходила к врачам. Они говорят что я абсолютно здорова, но как только я закрываю глаза...;Я не помню, когда последний раз спала. Я даже не представляю, что сегодня за день. Каждую ночь я не могу заснуть. Я обошла кучу врачей. Все они, как один, твердят, что все в норме. Но как только я закрываю глаза... Я вижу ее.;;;;;;;;;;;;;;;;;;;;;
230;ID_46_ROUND_2_GG_ANSWER_RESULT = suicide;Ты видишь девочку?;Ты видишь маленькую девочку?;;;;;;;;;;;;;;;;;;;;;
231;ID_46_ROUND_2_GG_ANSWER_RESULT = next;Что там?;Кого ты видишь?;;;;;;;;;;;;;;;;;;;;;
232;ID_46_ROUND_2_GG_ANSWER_RESULT = next;Сон переоценен.;Тебя пресделуют кошмары?.;;;;;;;;;;;;;;;;;;;;;
233;ID_46_f_o_ROUND_2_SUICIDE_ON_DIE;ОТКУДА ТЫ ЗНАЕШЬ? ЭТО ЧТО - СОН?;Откуда ты знаешь?! Это тоже сон? Пора с этим кончать.;;;;;;;;;;;;;;;;;;;;;
234;ID_46_f_o_ROUND_3_SUICIDE_TEXT;Что? Ах, да... Я вижу девочку. У моей дочери была шизофрения. Она порезала себе руки... Ее не удалось спасти... С тех пор она приходит во сне...;Я... я вижу маленькую девочку. Мою дочь. В детстве она слышала голоса в голове. Ей поставили диагноз: шизофрения. В один день она не выдержала и перерезала вены на руках. Врачи не смогли ее спасти. С тех пор, каждую ночь она приходит ко мне во сне...;;;;;;;;;;;;;;;;;;;;;
235;ID_46_ROUND_3_GG_ANSWER_RESULT = next;Жутко...;Черт, это довольно жутко.;;;;;;;;;;;;;;;;;;;;;
236;ID_46_ROUND_3_GG_ANSWER_RESULT = next;Тебе нужен психиатр...;Возможно, тебе стоит обратиться к врачу?;;;;;;;;;;;;;;;;;;;;;
237;ID_46_ROUND_3_GG_ANSWER_RESULT = next;Беги в церковь!;Мне очень жаль твою дочь.;;;;;;;;;;;;;;;;;;;;;
238;ID_46_f_o_ROUND_4_SUICIDE_TEXT;ЧЕГО ЕЙ ОТ МЕНЯ НАДО?? Я намучалась с ней итак... Это был просто кошмар, воспитывать ее. Но я делала все что могла!;Что ей нужно от меня?! Почему она мучает меня? Я с трудом пережила тот кошмар. Я делала все, что в моих силах. Неужели этого не достаточно?;;;;;;;;;;;;;;;;;;;;;
239;ID_46_ROUND_4_GG_ANSWER_RESULT = next;Не всё..;Тебе все же не удалось ее уберечь.;;;;;;;;;;;;;;;;;;;;;
240;ID_46_ROUND_4_GG_ANSWER_RESULT = suicide;Она тебя ненавидит!;Может, она винит тебя в своей смерти?;;;;;;;;;;;;;;;;;;;;;
241;ID_46_ROUND_4_GG_ANSWER_RESULT = next;Ты не виновата!;Твоей вины здесь нет. Такое просто невозможно предвидеть.;;;;;;;;;;;;;;;;;;;;;
242;ID_46_f_o_ROUND_4_SUICIDE_ON_DIE;ОКЕЙ ОКЕЙ! ОНА ВЫЙГРАЛА!;И она права. Я готова за это ответить.;;;;;;;;;;;;;;;;;;;;;
243;ID_46_f_o_ROUND_5_SUICIDE_TEXT;Я не была готова к этому...Как вообще можно быть к этому готовым? Она мучала меня при жизни, и мучает после...;К такому я точно не была готова. Да и как кто-то может быть готов? Она мучала меня при жизни. А теперь, она мучает меня и после смерти. Это невыносимо...;;;;;;;;;;;;;;;;;;;;;
244;ID_46_ROUND_5_GG_ANSWER_RESULT = suicide;Может она тебя простит?;Ты не пробовала поговорить с ней? Вдруг она простит тебя?;;;;;;;;;;;;;;;;;;;;;
245;ID_46_ROUND_5_GG_ANSWER_RESULT = ;Может тебе нужен экзорцизм?;Я думаю, тебе стоит обратиться за помощью к церкви.;;;;;;;;;;;;;;;;;;;;;
246;ID_46_ROUND_5_GG_ANSWER_RESULT = suicide;Йога помогает для сна!;Попробуй обратиться к хорошему психотерапевту. ;;;;;;;;;;;;;;;;;;;;;
247;ID_46_f_o_ROUND_5_SUICIDE_ON_DIE;Я просто хочу, чтобы это все кончилось...;Нет, я просто хочу, чтобы это закончилось. Здесь и сейчас.;;;;;;;;;;;;;;;;;;;;;
248;ID_46_f_o_ROUND_5SUICIDE_ON_GO_HOME;ДА! ТОЧНО! ВЫЗЫВАЮ ЭКЗОРЦИСТА!;Ты прав, возможно, мне стоит поговорить со священником. ;;;;;;;;;;;;;;;;;;;;;
249;ID_28_m_a_ROUND_1_SUICIDE_TEXT;Я сдаюсь;Я сдаюсь. Я никому не нужен.;;;;;;;;;;;;;;;;;;;;;
250;ID_28_ROUND_1_GG_ANSWER_RESULT = suicide;I never gonna let you down;Нужен - гружен.;;;;;;;;;;;;;;;;;;;;;
251;ID_28_ROUND_1_GG_ANSWER_RESULT = next;I never gonna give you up;Не нужен? Давай пойдем на ужин!;;;;;;;;;;;;;;;;;;;;;
252;ID_28_ROUND_1_GG_ANSWER_RESULT = suicide;I never gonna tell a lie and hurt you;Сдаюсь - боюсь.;;;;;;;;;;;;;;;;;;;;;
253;ID_28_m_a_ROUND_1_SUICIDE_ON_DIE;Не сработало.;Не умеешь ты рифмовать...;;;;;;;;;;;;;;;;;;;;;
254;ID_28_m_a_ROUND_2_SUICIDE_TEXT;Что?;Прости, что? Я не понял.;;;;;;;;;;;;;;;;;;;;;
255;ID_28_ROUND_2_GG_ANSWER_RESULT = suicide;I тever gonna say goodbye.;Прости - такси.;;;;;;;;;;;;;;;;;;;;;
256;ID_28_ROUND_2_GG_ANSWER_RESULT = suicide;I never gonna run around and desert you.;Не понял - не обнял.;;;;;;;;;;;;;;;;;;;;;
257;ID_28_ROUND_2_GG_ANSWER_RESULT = next;I never gonna let you down.;Раз не понял, ты не пони.;;;;;;;;;;;;;;;;;;;;;
258;ID_28_m_a_ROUND_2_SUICIDE_ON_DIE;Не сработало.;Я уж лучше прыгну.;;;;;;;;;;;;;;;;;;;;;
259;ID_28_m_a_ROUND_3_SUICIDE_TEXT;Мне начинает нравится, это правда?;Ха-ха, а ты забавный. Еще можешь?;;;;;;;;;;;;;;;;;;;;;
260;ID_28_ROUND_3_GG_ANSWER_RESULT = suicide;I never gonna give you up.;Забавный - равный.;;;;;;;;;;;;;;;;;;;;;
261;ID_28_ROUND_3_GG_ANSWER_RESULT = next;I never gonna run around and desert you.;Еще могу. Не останусь в долгу!;;;;;;;;;;;;;;;;;;;;;
262;ID_28_ROUND_3_GG_ANSWER_RESULT = suicide;I never gonna make you cry.;Можешь - сложишь.;;;;;;;;;;;;;;;;;;;;;
263;ID_28_m_a_ROUND_3_SUICIDE_ON_DIE;Не сработало.;Тоже мне, рифмач.;;;;;;;;;;;;;;;;;;;;;
264;ID_28_m_a_ROUND_4_SUICIDE_TEXT;Золотые слова.;Как это у тебя так получается?;;;;;;;;;;;;;;;;;;;;;
265;ID_28_ROUND_4_GG_ANSWER_RESULT = next;I never gonna make you cry.;С детства умею и никогда не болею!;;;;;;;;;;;;;;;;;;;;;
266;ID_28_ROUND_4_GG_ANSWER_RESULT = suicide;I never gonna give you up.;Получается - питается.;;;;;;;;;;;;;;;;;;;;;
267;ID_28_ROUND_4_GG_ANSWER_RESULT = suicide;I never gonna run around and desert you.;Как - рак.;;;;;;;;;;;;;;;;;;;;;
268;ID_28_m_a_ROUND_4_SUICIDE_ON_DIE;Не сработало.;Ну вот, все испортил только.;;;;;;;;;;;;;;;;;;;;;
269;ID_28_m_a_ROUND_5_SUICIDE_TEXT;Мое сердце тает.;А можешь меня тоже научить?;;;;;;;;;;;;;;;;;;;;;
270;ID_28_ROUND_5_GG_ANSWER_RESULT = save;I never gonna give you up;Тогда с моста слезай и моим словам внимай.;;;;;;;;;;;;;;;;;;;;;
271;ID_28_ROUND_5_GG_ANSWER_RESULT = suicide;I never gonna say goodbye.;Научить - поручить.;;;;;;;;;;;;;;;;;;;;;
272;ID_28_ROUND_5_GG_ANSWER_RESULT = suicide;I never gonna let you down.;Тоже - прихожая.;;;;;;;;;;;;;;;;;;;;;
273;ID_28_m_a_ROUND_5_SUICIDE_ON_DIE;Не сработало.;Нет, такому я учиться точно не буду.;;;;;;;;;;;;;;;;;;;;;
274;ID_28_m_a_ROUND_5SUICIDE_ON_GO_HOME;СРАБОТАЛО!;Хорошо! Уже слезаю.;;;;;;;;;;;;;;;;;;;;;
275;ID_4_m_a_ROUND_1_SUICIDE_TEXT;Не подходи! Я не хочу больше жить!;Не подходи! Я все уже решил. Я больше не хочу жить.;;;;;;;;;;;;;;;;;;;;;
276;ID_4_ROUND_1_GG_ANSWER_RESULT = suicide;Ты не первый, кто так говорит...;Постой, ты не первый, кто сюда приходил.;;;;;;;;;;;;;;;;;;;;;
277;ID_4_ROUND_1_GG_ANSWER_RESULT = next;Давай поговорим, все можно решить!;Погоди немного, давай просто поговорим.;;;;;;;;;;;;;;;;;;;;;
278;ID_4_ROUND_1_GG_ANSWER_RESULT = next;Почему?;Почему ты сделал такой выбор?;;;;;;;;;;;;;;;;;;;;;
279;ID_4_m_a_ROUND_1_SUICIDE_ON_DIE;...;Надеюсь, что буду последним.;;;;;;;;;;;;;;;;;;;;;
280;ID_4_m_a_ROUND_2_SUICIDE_TEXT;Мои проблемы тебя не касаются!;Отвали от меня! Тебя мои проблемы точно не касаются.;;;;;;;;;;;;;;;;;;;;;
281;ID_4_ROUND_2_GG_ANSWER_RESULT = next;Ты не прав, я могу помочь.;Не говори так, я просто хочу помочь тебе.;;;;;;;;;;;;;;;;;;;;;
282;ID_4_ROUND_2_GG_ANSWER_RESULT = next;Расскажи мне все.;Я не прошу тебя рассказывать все. Просто скажи, что тебя сюда привело.;;;;;;;;;;;;;;;;;;;;;
283;ID_4_ROUND_2_GG_ANSWER_RESULT = suicide;Я твой друг.;Считай, что я твой друг. Так тебе будет легче.;;;;;;;;;;;;;;;;;;;;;
284;ID_4_m_a_ROUND_2_SUICIDE_ON_DIE;Нет у меня друзей!!;Нет у меня друзей. Я никому не нужен!;;;;;;;;;;;;;;;;;;;;;
285;ID_4_m_a_ROUND_3_SUICIDE_TEXT;Мог бы мне кто помочь. Денег нет. Я бездарность. На жизнь и на лекарства для бабушки. Я практически не живу.;Даже не знаю, с чего начать. Я абсолютный бездарь. Я ненавижу свою работу. Денег у меня нет. Я даже не могу помочь своей больной матери с лекарствами. Зачем же мне тогда жить?;;;;;;;;;;;;;;;;;;;;;
286;ID_4_ROUND_3_GG_ANSWER_RESULT = suicide;Всегда есть выход!;Не сдавайся, всегда можно найти выход.;;;;;;;;;;;;;;;;;;;;;
287;ID_4_ROUND_3_GG_ANSWER_RESULT = next;Может есть у кого попросить помощи.;Неужели у тебя нет никого, кто мог бы помочь?;;;;;;;;;;;;;;;;;;;;;
288;ID_4_ROUND_3_GG_ANSWER_RESULT = next;Государство поможет.;А как насчет пособий от государства? ;;;;;;;;;;;;;;;;;;;;;
289;ID_4_m_a_ROUND_3_SUICIDE_ON_DIE;Я нашел свой.;Свой я уже точно нашел.;;;;;;;;;;;;;;;;;;;;;
290;ID_4_m_a_ROUND_4_SUICIDE_TEXT;Никто мне не поможет. Я всегда был и буду один.;Никто никогда мне не помогал. Я всегда был сам за себя.;;;;;;;;;;;;;;;;;;;;;
291;ID_4_ROUND_4_GG_ANSWER_RESULT = next;Сейчас ты не один! ;Но ты не один. У тебя есть мама, которая любит тебя.;;;;;;;;;;;;;;;;;;;;;
292;ID_4_ROUND_4_GG_ANSWER_RESULT = suicide;Деньги это не так важно, чтобы из-за них умирать!;Пойми, счастье же не в деньгах.;;;;;;;;;;;;;;;;;;;;;
293;ID_4_ROUND_4_GG_ANSWER_RESULT = next;Я понимаю тебя.;Я знаю, о чем ты говоришь. Я тоже сам по себе.;;;;;;;;;;;;;;;;;;;;;
294;ID_4_m_a_ROUND_4_SUICIDE_ON_DIE;Ну да, я сюда просто так пришел...;От этого у меня их не станет больше. ;;;;;;;;;;;;;;;;;;;;;
295;ID_4_m_a_ROUND_5_SUICIDE_TEXT;Мне просто хочется быть счастливым!;Мне просто хочется наконец быть счастливым.;;;;;;;;;;;;;;;;;;;;;
296;ID_4_ROUND_5_GG_ANSWER_RESULT = suicide;Все будет хорошо.;Поверь мне, все наладится.;;;;;;;;;;;;;;;;;;;;;
297;ID_4_ROUND_5_GG_ANSWER_RESULT = save;Я с тобой!;Ты будешь счастлив рядом с мамой. Она ждет тебя дома.;;;;;;;;;;;;;;;;;;;;;
298;ID_4_ROUND_5_GG_ANSWER_RESULT = suicide;Будешь! Это просто займет время...;И ты будешь счастливым. Тебе просто нужно потерпеть.;;;;;;;;;;;;;;;;;;;;;
299;ID_4_m_a_ROUND_5_SUICIDE_ON_DIE;Буду;Больше я ждать не могу. ;;;;;;;;;;;;;;;;;;;;;
300;ID_4_m_a_ROUND_5SUICIDE_ON_GO_HOME;Я немного психанул...;Да, наверное, я немного психанул. Мне надо вернуться к ней.;;;;;;;;;;;;;;;;;;;;;
301;ID_9_m_o_ROUND_1_SUICIDE_TEXT;Ты мой напарник по самоубийству?;Я тебя и не заметил. Тебя послал учитель, чтобы направить меня?;;;;;;;;;;;;;;;;;;;;;
302;ID_9_ROUND_1_GG_ANSWER_RESULT = next;Нет.;Нет, я здесь не для этого.;;;;;;;;;;;;;;;;;;;;;
303;ID_9_ROUND_1_GG_ANSWER_RESULT = next;Что?;О чем ты говоришь?;;;;;;;;;;;;;;;;;;;;;
304;ID_9_ROUND_1_GG_ANSWER_RESULT = next;Еще один с промытым мозгом?;Только не это, еще один...;;;;;;;;;;;;;;;;;;;;;
305;ID_9_m_o_ROUND_2_SUICIDE_TEXT;Точно вроде бы у меня не должно быть напарника. Может быть я перепутал мост?;А, ну да. Про тебя учитель точно ничего не говорил. Я что, пришел не в то место?;;;;;;;;;;;;;;;;;;;;;
306;ID_9_ROUND_2_GG_ANSWER_RESULT = next;Надеюсь, что перепутал.;Я не знаю. Я и сам порой задаюсь тем же вопросом.;;;;;;;;;;;;;;;;;;;;;
307;ID_9_ROUND_2_GG_ANSWER_RESULT = next;Ну...Надо узнать точно?;Разве выбор моста имеет значение?;;;;;;;;;;;;;;;;;;;;;
308;ID_9_ROUND_2_GG_ANSWER_RESULT = suicide;Вас много вообще?;"Кто такой этот ваш ""учитель""?";;;;;;;;;;;;;;;;;;;;;
309;ID_9_m_o_ROUND_2_SUICIDE_ON_DIE;Что-то не так. Я прыгаю!;О нет, здесь что-то не так. Я должен прыгать!;;;;;;;;;;;;;;;;;;;;;
310;ID_9_m_o_ROUND_3_SUICIDE_TEXT;Важен ли выбор моста или самое главное - это прыгнуть?;Быть может, не так важно место, как сам прыжок.;;;;;;;;;;;;;;;;;;;;;
311;ID_9_ROUND_3_GG_ANSWER_RESULT = next;Ты меня слышишь вообще?;Эй, ты вообще меня слушаешь?;;;;;;;;;;;;;;;;;;;;;
312;ID_9_ROUND_3_GG_ANSWER_RESULT = suicide;Ты ничего не добьешься своим самоубийством!;Послушай, ты совершаешь большую ошибку. Твое самоубийство ничего не даст.;;;;;;;;;;;;;;;;;;;;;
313;ID_9_ROUND_3_GG_ANSWER_RESULT = next;Я твой брат! Твое время еще не пришло!;Эм... Твое время еще не пришло, брат! ;;;;;;;;;;;;;;;;;;;;;
314;ID_9_m_o_ROUND_3_SUICIDE_ON_DIE;Я избавлюсь от боли! Прощай боль...;Зато я избавлюсь от боли. Свобода ждет меня! ;;;;;;;;;;;;;;;;;;;;;
315;ID_9_m_o_ROUND_4_SUICIDE_TEXT;Пожалуйста, не сбивай меня, это важно для меня.;Пожалуйста, не мешай мне. Для меня очень важно сделать это.;;;;;;;;;;;;;;;;;;;;;
316;ID_9_ROUND_4_GG_ANSWER_RESULT = suicide;Важно - это жизнь.;Твоя жизнь - вот что действительно важно.;;;;;;;;;;;;;;;;;;;;;
317;ID_9_ROUND_4_GG_ANSWER_RESULT = next;Тебе промыли мозг!;Неужели ты не понимаешь. Тебе попросту промыли мозги!;;;;;;;;;;;;;;;;;;;;;
318;ID_9_ROUND_4_GG_ANSWER_RESULT = next;Да, да, конечно. Не отвлекаю.;Почему тебе так важно туда прыгнуть?;;;;;;;;;;;;;;;;;;;;;
319;ID_9_m_o_ROUND_4_SUICIDE_ON_DIE;Ты не понимаешь, о чем говоришь.;Ты даже не представляешь, о чем говоришь. Нет ничего важнее свободы! ;;;;;;;;;;;;;;;;;;;;;
320;ID_9_m_o_ROUND_5_SUICIDE_TEXT;РРРРРР. Просто не отвлекай, я пытаюсь думать! Мост или прыжок, мост или прыжок...;"Черт, да отвали ты от меня! Я пытаюсь думать. Как же он там говорил... ""Главное - правильное место"". Нет, не так. ""Главное - прыгнуть"". Блин, я совсем забыл.";;;;;;;;;;;;;;;;;;;;;
321;ID_9_ROUND_5_GG_ANSWER_RESULT = suicide;Главное - хорошая память.;Ну так можно хоть всю ночь тут простоять.;;;;;;;;;;;;;;;;;;;;;
322;ID_9_ROUND_5_GG_ANSWER_RESULT = save;Правильный выбор моста - половина дела.;По-моему, главное - не делать поспешных выводов.;;;;;;;;;;;;;;;;;;;;;
323;ID_9_ROUND_5_GG_ANSWER_RESULT = save;Иди домой, подумай еще.;Мне кажется, тебе стоит вернуться домой и все хорошенько обдумать.;;;;;;;;;;;;;;;;;;;;;
324;ID_9_m_o_ROUND_5_SUICIDE_ON_DIE;Я вспомнил! АААААААА;"Вспомнил! ""Главное - это прыжок навстречу свободе"".";;;;;;;;;;;;;;;;;;;;;
325;ID_9_m_o_ROUND_5SUICIDE_ON_GO_HOME;Ты меня сбил, я уже ни в чем не уверен. Мне нужно все перепроверить теперь!;Твою мать. Ты своей болтовней совсем меня сбил. Теперь я точно ни в чем не уверен. Мне нужно увидеть учителя еще раз. ;;;;;;;;;;;;;;;;;;;;;
326;ID_43_m_2head_ROUND_1_SUICIDE_TEXT;Так веди меня домой! Нет! Я не хочу больше! Эй!;Пошли уже домой! Нет. Но я передумала, я больше не хочу. Эй!;;;;;;;;;;;;;;;;;;;;;
327;ID_43_ROUND_1_GG_ANSWER_RESULT = next;Эм...;Какого...;;;;;;;;;;;;;;;;;;;;;
328;ID_43_ROUND_1_GG_ANSWER_RESULT = next;По очереди!;Так, говорите по... одной. ;;;;;;;;;;;;;;;;;;;;;
329;ID_43_ROUND_1_GG_ANSWER_RESULT = next;Вас...Две?;Такого я точно никогда еще не видел.;;;;;;;;;;;;;;;;;;;;;
330;ID_43_m_2head_ROUND_2_SUICIDE_TEXT;Чо пялишься?? Извини мою сестру... Не извиняй, вообще свали, что ты тут забыл??;На что уставился?! Извини мою сестру, она немного... Не извиняй! И вообще, кто ты такой? Тебе делать больше нечего, как тут стоять?;;;;;;;;;;;;;;;;;;;;;
331;ID_43_ROUND_2_GG_ANSWER_RESULT = suicide;Эм...;Даже и не знаю, что на это ответить.;;;;;;;;;;;;;;;;;;;;;
332;ID_43_ROUND_2_GG_ANSWER_RESULT = next;Что ты...вы хотите?;Могу задать тебе тот же вопрос. ;;;;;;;;;;;;;;;;;;;;;
333;ID_43_ROUND_2_GG_ANSWER_RESULT = next;По очереди, ПОЖАЛУЙСТА!;По очереди, пожалуйста! Что у тебя... у вас случилось?;;;;;;;;;;;;;;;;;;;;;
334;ID_43_m_2head_ROUND_2_SUICIDE_ON_DIE;ААА чтоооо.;Ну и не отвечай, кретин! Стой, нет!;;;;;;;;;;;;;;;;;;;;;
335;ID_43_m_2head_ROUND_3_SUICIDE_TEXT;Она спит со всеми подряд! А шлюхой чувствую себя я! Я не виновата, что у тебя нет парня!;Она ни одного парня не пропускает, спит чуть ли не с каждым встречным. А шлюхой почему-то чувствую себя я! Но я же не виновата, что ты парня себе найти не можешь. ;;;;;;;;;;;;;;;;;;;;;
336;ID_43_ROUND_3_GG_ANSWER_RESULT = next;Из-за этого ты хочешь умереть?;Я уверен, что-то все же можно придумать.;;;;;;;;;;;;;;;;;;;;;
337;ID_43_ROUND_3_GG_ANSWER_RESULT = next;Господи, что...;Да, все и правда довольно запутанно.;;;;;;;;;;;;;;;;;;;;;
338;ID_43_ROUND_3_GG_ANSWER_RESULT = next;С каждым? Что ты делаешь сегодня вечером?;С каждым? Ты что, и со мной готова переспать?;;;;;;;;;;;;;;;;;;;;;
339;ID_43_m_2head_ROUND_4_SUICIDE_TEXT;Я просто уже не могу это выносить. Я хочу простой спокойной христианской жизни. А не этого всего. Ты зануда! Как наша мать!;Я устала от этого всего. Я не могу больше это терпеть. Я хочу встретить того единственного, и перестать жить во грехе. Ты просто зануда! Ты точная копия мамы.;;;;;;;;;;;;;;;;;;;;;
340;ID_43_ROUND_4_GG_ANSWER_RESULT = next;Эм...;Должен же быть хоть какой-то компромисс.;;;;;;;;;;;;;;;;;;;;;
341;ID_43_ROUND_4_GG_ANSWER_RESULT = next;Может вам обеим пойти в церковь?;Может вам обеим пора остепениться и найти подходящих парней?;;;;;;;;;;;;;;;;;;;;;
342;ID_43_ROUND_4_GG_ANSWER_RESULT = next;Может вам обеим раскрепоститься?;Может, вам обем стоит смотреть на жизнь немного проще и не заморачиваться?;;;;;;;;;;;;;;;;;;;;;
343;ID_43_m_2head_ROUND_5_SUICIDE_TEXT;Никаких компромиссов! Да! Никаких компромиссов!!;Да я лучше умру, чем пойду на компромисс! В таком случае, я тоже!;;;;;;;;;;;;;;;;;;;;;
344;ID_43_ROUND_5_GG_ANSWER_RESULT = ;Может убьем только одну из вас?;Может, вам обратиться к врачу? Я слышал, что в подобном случае делают какую-то операцию.;;;;;;;;;;;;;;;;;;;;;
345;ID_43_ROUND_5_GG_ANSWER_RESULT = suicide;Слатшейминг это плохо, ты знаешь?;Нельзя судить людей за то, какие они есть. ;;;;;;;;;;;;;;;;;;;;;
346;ID_43_ROUND_5_GG_ANSWER_RESULT = suicide;Надо всегда искать компромисс!;Эй, вы же сестры. Вы в прямом смысле одно целое! ;;;;;;;;;;;;;;;;;;;;;
347;ID_43_m_2head_ROUND_5_SUICIDE_ON_DIE;И мне жаль...;И мне жаль...;;;;;;;;;;;;;;;;;;;;;
348;ID_43_m_2head_ROUND_5SUICIDE_ON_GO_HOME;СМЕРТЬ - это компромисс.;С радостью избавлюсь от нее! Нет, это Я с удовольствием попращаюсь с тобой! ;;;;;;;;;;;;;;;;;;;;;
349;ID_10_m_a_ROUND_1_SUICIDE_TEXT;Я ВЕСТНИК БУДУЩЕГО! Я ОДИН ИЗ ПЕРВЫХ ПИЛЛИГРИМОВ В НОВЫЙ ЛУЧШИЙ МИР!;Я вестник будущего! Я поведу людей в новый, лучший мир!;;;;;;;;;;;;;;;;;;;;;
350;ID_10_ROUND_1_GG_ANSWER_RESULT = suicide;Разговор будет интересным...;У тебя что, не все дома?;;;;;;;;;;;;;;;;;;;;;
351;ID_10_ROUND_1_GG_ANSWER_RESULT = next;ЗВУЧИТ КРУТО.;Звучит довольно круто. ;;;;;;;;;;;;;;;;;;;;;
352;ID_10_ROUND_1_GG_ANSWER_RESULT = next;Что там лучше?;"И что же в нем будет ""лучше""?";;;;;;;;;;;;;;;;;;;;;
353;ID_10_m_a_ROUND_1_SUICIDE_ON_DIE;Я...ИДУ...;Новый мир ждет нас! ;;;;;;;;;;;;;;;;;;;;;
354;ID_10_m_a_ROUND_2_SUICIDE_TEXT;КОНЕЦ ЭТОМУ ЕБАНОМУ МИР! БОЛЬШЕ НИКАКИХ МУДИЛ И УРОДОВ! ТОЛЬЧО ЧИСТОТА И КРАСОТА.;Конец этому гребаному миру! Больше никаких козлов и уродов! В новом мире все будут чисты!;;;;;;;;;;;;;;;;;;;;;
355;ID_10_ROUND_2_GG_ANSWER_RESULT = next;А мне нравится твой мир...;Твое представление довольно заманчиво.;;;;;;;;;;;;;;;;;;;;;
356;ID_10_ROUND_2_GG_ANSWER_RESULT = next;Ну не, это так не работает!;Не, такого точно не произойдет. Ты что-то перепутал.;;;;;;;;;;;;;;;;;;;;;
357;ID_10_ROUND_2_GG_ANSWER_RESULT = suicide;Нормальный мир, не нравится - вали.;Если тебе не нравится этот мир, это не значит, что он плохой.;;;;;;;;;;;;;;;;;;;;;
358;ID_10_m_a_ROUND_2_SUICIDE_ON_DIE;Я ВИЖУ СВЕТ!!!!!! ОН СОЧИТСЯ ИЗ ПРОСТРАНСТВА ПОД ЭТИМ МОСТОМ! ДААААААААААА;Я вижу свет. Он зовет меня. Он зовет меня вниз! Новый мир ждет!;;;;;;;;;;;;;;;;;;;;;
359;ID_10_m_a_ROUND_3_SUICIDE_TEXT;ПРЫГНИ СО МНОЙ! ВМЕСТЕ МЫ ПРИДЕМ К БЕСКОНЕЧНОМУ СВЕТУ И УЙДЕМ ОТ БЕСКОНЕЧНОЙ ТЬМЫ!;Так прыгни же со мной! Вместе мы оставим тьму позади и придем к новому миру!;;;;;;;;;;;;;;;;;;;;;
360;ID_10_ROUND_3_GG_ANSWER_RESULT = next;Продолжай.;Постой, почему я должен умирать?;;;;;;;;;;;;;;;;;;;;;
361;ID_10_ROUND_3_GG_ANSWER_RESULT = suicide;Я наверное пас.;Давай-ка лучше без меня.;;;;;;;;;;;;;;;;;;;;;
362;ID_10_ROUND_3_GG_ANSWER_RESULT = next;Зачем мне это?;Знаешь, мне и в этом мире не так уж плохо.;;;;;;;;;;;;;;;;;;;;;
363;ID_10_m_a_ROUND_3_SUICIDE_ON_DIE;Я ВИЖУ СВЕТ!!!!!! ОН СОЧИТСЯ ИЗ ПРОСТРАНСТВА ПОД ЭТИМ МОСТОМ! ДААААААААААА;Свет зовет все сильнее! Скоро я буду там! Прощай, тьма!;;;;;;;;;;;;;;;;;;;;;
364;ID_10_m_a_ROUND_4_SUICIDE_TEXT;Я ВИЖУ В ТЕБЕ БОЛЬ И ТЬМУ! ВНИЗУ СВЕТ! ПРЫГНИ СО МНОЙ!;Я вижу в тебе много боли. Я вижу в тебе тьму. Оставь ее. Прыгай вместе со мной!;;;;;;;;;;;;;;;;;;;;;
365;ID_10_ROUND_4_GG_ANSWER_RESULT = suicide;Это могло бы мне помочь.;Может, мне и правда пора это сделать.;;;;;;;;;;;;;;;;;;;;;
366;ID_10_ROUND_4_GG_ANSWER_RESULT = next;Я не уверен...;"Что-то мне не хочется умирать ради ""нового мира"".";;;;;;;;;;;;;;;;;;;;;
367;ID_10_ROUND_4_GG_ANSWER_RESULT = next;Конечно видишь. Поможешь мне?;Не сомневаюсь. Но я найду другой способ обратиться к свету.;;;;;;;;;;;;;;;;;;;;;
368;ID_10_m_a_ROUND_4_SUICIDE_ON_DIE;ПРЫГАЙ ЗА МНОЙ!;Так прыгнем вместе!;;;;;;;;;;;;;;;;;;;;;
369;ID_10_m_a_ROUND_5_SUICIDE_TEXT;ПРИМИ СВЕТ В СЕБЯ!!;Не бойся, оставь тьму и прими свет!;;;;;;;;;;;;;;;;;;;;;
370;ID_10_ROUND_5_GG_ANSWER_RESULT = suicide;ДА.;Да. Я сделаю это.;;;;;;;;;;;;;;;;;;;;;
371;ID_10_ROUND_5_GG_ANSWER_RESULT = save;Приму, но если слезешь.;Хорошо, хорошо. Я приму свет если ты слезешь оттуда.;;;;;;;;;;;;;;;;;;;;;
372;ID_10_ROUND_5_GG_ANSWER_RESULT = save;Я ВИЖУ СВЕТ У ТЕБЯ ДОМА!;Слушай, что-то я не вижу там внизу никакого света. Я думаю, тебе стоит поискать его в другом месте.;;;;;;;;;;;;;;;;;;;;;
373;ID_10_m_a_ROUND_5_SUICIDE_ON_DIE;ДА!!!!!!;Пришла пора нам очиститься!;;;;;;;;;;;;;;;;;;;;;
374;ID_10_m_a_ROUND_5SUICIDE_ON_GO_HOME;ПРИНИМАЙ. Я НАЙДУ СВЕТ!;Хорошо, но тебе не сбить меня с пути истинного!;;;;;;;;;;;;;;;;;;;;;
